domain,label
hvlxw.ly,1
wyczesani.com,0
webshots-admin.firebaseapp.com,0
lfrgslbgvveljswoxvo.com,1
chord-gitar.com,0
usu0icucegis.top,1
saltoagulha.com,0
unafsuhnatd.com,1
golyat.jp,0
doorsdirect.co.za,0
okndlffaabmflbam.com,1
britishgasjobs.co.uk,0
console-forum.net,0
myyikwyiuucyywug.org,1
inser-robotica.com,0
contrattidilocazione.net,0
cinemasubtitles.com,0
ax7ju4k4gjwdulmrq4w.ddns.net,1
ljjenmqw.com,1
ehem47bm3ks4sxm5p5.cn,1
jav-hq.com,0
darlingdearestblog.com,0
sfmoddrvubnyvbqww.pw,1
xauvasmwuamravb.org,1
pixel-digital.com,0
irrigacion.gov.ar,0
neetresults2018.net,0
mnhbrcighypyofbtf.net,1
egy4tec.com,0
pxvgoycdut.com,1
publish.csiro.au,0
inessence.jp,0
superfluisqupax.com,1
deutschland-baut.de,0
superduperkyle.com,0
8mcm46o6cu0y.net,1
motomag.com,0
peliculacompletadecargar.com,0
libtop.com,0
i464uc6cu8us.top,1
lyrovudi.info,1
drelzqognj.com,1
skytat.fi,0
latenighttales.co.uk,0
pmstudy.com,0
happygaytravel.com,0
kwtmotor.com,0
lfcfembfddafakdc.com,1
alifun.tmall.com,0
hrlxtwsvweznqjr.com,1
animamperqcan.com,1
yaiuiplimlxxoneu.eu,1
sufferlisten.net,1
2poodstore.com,0
prozdo.ru,0
wizardforums.com,0
tourgolan.org.il,0
emperial.sg,0
phototele.com,0
baldingblog.com,0
lymytex.com,1
goldinglawyers.com,0
deascuola.it,0
travelsmicrowave.biz,1
vinedem.info,1
niyxkdevsirbjhiuj.tw,1
edakalbbnkbdeedd.net,1
vietgame.asia,0
syndicationentire.it,1
markdown.tw,0
ygtapuucvm.com,1
xzcd.com,0
skgqucquggoocymo.org,1
missionalwear.com,0
klafmijcivswgps.net,1
urheiluveto.com,0
sambidoplang.heck.in,0
tbc7ascyrtw8t5zsxj.net,1
ttnwtktnwufiewebfieah.ac,1
ur74grwle0mdgt12ghahkr5.ddns.net,1
turismoenalbacete.com,0
trydesk.com,0
